都道府県,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉
北海道,13277,32631,16470,1850,5129
青森県,14678,31527,15134,1356,3280
岩手県,11127,29799,14054,1446,3028
宮城県,15195,32890,15148,1574,3524
秋田県,14980,31855,14959,1359,2746
山形県,26279,33865,15536,1720,4177
福島県,11639,34786,13285,1047,2890
茨城県,13708,29038,14242,1598,1586
栃木県,17426,32156,14877,1785,2105
群馬県,12564,28993,11811,1634,2016
埼玉県,19697,34517,16528,2908,2094
千葉県,20127,32526,15794,2376,2347
東京都,27075,34946,17769,3134,2755
神奈川県,23980,36028,18018,3140,2174
新潟県,10820,35328,14057,1575,1964
富山県,18839,29949,13100,3663,2034
石川県,23381,34524,17920,4623,2844
福井県,25427,27513,15610,3501,2707
山梨県,16604,31980,13039,1947,3015
長野県,12596,30199,12715,1569,1898
岐阜県,23852,28545,13968,2882,2133
静岡県,17946,34395,15710,2711,2869
愛知県,22756,29289,15421,2896,2413
三重県,32799,28444,16797,3595,2459
滋賀県,38835,32681,20516,4534,2908
京都府,39581,31168,20132,3770,2801
大阪府,33954,29645,17722,3907,4023
兵庫県,30462,30252,18797,3355,3189
奈良県,37295,32010,18059,3692,3032
和歌山県,34562,30944,17652,3101,3115
鳥取県,22767,29987,18463,4527,2233
島根県,20283,27900,16404,3482,2535
岡山県,23084,29817,17596,4126,3355
広島県,29658,33030,18545,3972,3728
山口県,30080,28606,19581,4041,3486
徳島県,32068,27743,16442,3702,2792
香川県,23486,27395,17578,3871,3832
愛媛県,26083,29357,17348,4176,2732
高知県,22831,26492,17732,4419,3342
福岡県,26414,29816,21151,3729,4044
佐賀県,29896,28950,17823,4178,3199
長崎県,22859,27232,16170,4191,3114
熊本県,26570,31346,21081,4856,4586
大分県,28090,28075,18709,3811,3518
宮崎県,23533,30297,20993,3802,2924
鹿児島県,25605,31468,19914,3786,2615
沖縄県,13626,27742,12212,2551,2490
